weekday,day_number,day_occurrences,start_hour,rider_type,ride_count,avg_rides
Friday,5,52,9,casual,9381,180.40384615384616
Friday,5,52,9,member,24029,462.09615384615387
Friday,5,52,10,casual,11017,211.8653846153846
Friday,5,52,10,member,19864,382.0
Friday,5,52,11,casual,15310,294.4230769230769
Friday,5,52,11,member,24797,476.86538461538464
Friday,5,52,12,casual,19079,366.90384615384613
Friday,5,52,12,member,30058,578.0384615384615
Friday,5,52,13,casual,20406,392.4230769230769
Friday,5,52,13,member,30908,594.3846153846154
Friday,5,52,14,casual,21003,403.90384615384613
Friday,5,52,14,member,30759,591.5192307692307
Friday,5,52,15,casual,24616,473.38461538461536
Friday,5,52,15,member,39271,755.2115384615385
Friday,5,52,16,casual,29627,569.75
Friday,5,52,16,member,52455,1008.75
Friday,5,52,17,casual,31606,607.8076923076923
Friday,5,52,17,member,55726,1071.6538461538462
Friday,5,52,18,casual,27635,531.4423076923077
Friday,5,52,18,member,45485,874.7115384615385
Friday,5,52,19,casual,21088,405.53846153846155
Friday,5,52,19,member,32511,625.2115384615385
Friday,5,52,20,casual,14829,285.1730769230769
Friday,5,52,20,member,22005,423.1730769230769
Friday,5,52,21,casual,12510,240.57692307692307
Friday,5,52,21,member,16853,324.09615384615387
Friday,5,52,22,casual,12487,240.1346153846154
Friday,5,52,22,member,14757,283.78846153846155
Friday,5,52,23,casual,11496,221.07692307692307
Friday,5,52,23,member,11631,223.67307692307693
Saturday,6,52,0,casual,11151,214.44230769230768
Saturday,6,52,0,member,9286,178.57692307692307
Saturday,6,52,1,casual,7973,153.32692307692307
Saturday,6,52,1,member,6124,117.76923076923077
Saturday,6,52,2,casual,5154,99.11538461538461
Saturday,6,52,2,member,3728,71.6923076923077
Saturday,6,52,3,casual,2740,52.69230769230769
Saturday,6,52,3,member,1977,38.01923076923077
Saturday,6,52,4,casual,1549,29.78846153846154
Saturday,6,52,4,member,1165,22.403846153846153
Saturday,6,52,5,casual,1370,26.346153846153847
Saturday,6,52,5,member,2185,42.01923076923077
Saturday,6,52,6,casual,2605,50.09615384615385
Saturday,6,52,6,member,5253,101.01923076923077
Saturday,6,52,7,casual,4711,90.59615384615384
Saturday,6,52,7,member,9451,181.75
Saturday,6,52,8,casual,9221,177.32692307692307
Saturday,6,52,8,member,17098,328.8076923076923
Saturday,6,52,9,casual,15345,295.09615384615387
Saturday,6,52,9,member,24053,462.5576923076923
Saturday,6,52,10,casual,23198,446.11538461538464
Saturday,6,52,10,member,30434,585.2692307692307
Saturday,6,52,11,casual,29340,564.2307692307693
Saturday,6,52,11,member,34524,663.9230769230769
Saturday,6,52,12,casual,33977,653.4038461538462
Saturday,6,52,12,member,36003,692.3653846153846
Saturday,6,52,13,casual,34450,662.5
Saturday,6,52,13,member,35813,688.7115384615385
Saturday,6,52,14,casual,35817,688.7884615384615
Saturday,6,52,14,member,36003,692.3653846153846
Saturday,6,52,15,casual,36845,708.5576923076923
Saturday,6,52,15,member,36168,695.5384615384615
Saturday,6,52,16,casual,35753,687.5576923076923
Saturday,6,52,16,member,36218,696.5
Saturday,6,52,17,casual,31672,609.0769230769231
Saturday,6,52,17,member,33702,648.1153846153846
Saturday,6,52,18,casual,26919,517.6730769230769
Saturday,6,52,18,member,31092,597.9230769230769
Saturday,6,52,19,casual,20993,403.71153846153845
Saturday,6,52,19,member,23869,459.0192307692308
Saturday,6,52,20,casual,15465,297.40384615384613
Saturday,6,52,20,member,17077,328.40384615384613
Saturday,6,52,21,casual,14376,276.46153846153845
Saturday,6,52,21,member,15232,292.9230769230769
Saturday,6,52,22,casual,14976,288.0
Saturday,6,52,22,member,14332,275.61538461538464
Saturday,6,52,23,casual,11663,224.28846153846155
Saturday,6,52,23,member,11105,213.55769230769232
Sunday,7,52,0,casual,11654,224.1153846153846
Sunday,7,52,0,member,8756,168.3846153846154
Sunday,7,52,1,casual,7996,153.76923076923077
Sunday,7,52,1,member,5997,115.32692307692308
Sunday,7,52,2,casual,5421,104.25
Sunday,7,52,2,member,3843,73.90384615384616
Sunday,7,52,3,casual,3105,59.71153846153846
Sunday,7,52,3,member,2308,44.38461538461539
Sunday,7,52,4,casual,2022,38.88461538461539
Sunday,7,52,4,member,1585,30.48076923076923
Sunday,7,52,5,casual,1889,36.32692307692308
Sunday,7,52,5,member,2037,39.17307692307692
Sunday,7,52,6,casual,2950,56.73076923076923
Sunday,7,52,6,member,4392,84.46153846153847
Sunday,7,52,7,casual,4620,88.84615384615384
Sunday,7,52,7,member,6927,133.21153846153845
Sunday,7,52,8,casual,7645,147.01923076923077
Sunday,7,52,8,member,12075,232.21153846153845
Sunday,7,52,9,casual,12826,246.65384615384616
Sunday,7,52,9,member,18964,364.6923076923077
Sunday,7,52,10,casual,18911,363.6730769230769
Sunday,7,52,10,member,25204,484.6923076923077
Sunday,7,52,11,casual,23648,454.7692307692308
Sunday,7,52,11,member,29404,565.4615384615385
Sunday,7,52,12,casual,26806,515.5
Sunday,7,52,12,member,31443,604.6730769230769
Sunday,7,52,13,casual,27711,532.9038461538462
Sunday,7,52,13,member,31420,604.2307692307693
Sunday,7,52,14,casual,28748,552.8461538461538
Sunday,7,52,14,member,31855,612.5961538461538
Sunday,7,52,15,casual,29745,572.0192307692307
Sunday,7,52,15,member,32778,630.3461538461538
Sunday,7,52,16,casual,28402,546.1923076923077
Sunday,7,52,16,member,32800,630.7692307692307
Sunday,7,52,17,casual,23610,454.03846153846155
Sunday,7,52,17,member,29500,567.3076923076923
Sunday,7,52,18,casual,20105,386.63461538461536
Sunday,7,52,18,member,27212,523.3076923076923
Sunday,7,52,19,casual,14701,282.71153846153845
Sunday,7,52,19,member,19757,379.9423076923077
Sunday,7,52,20,casual,10658,204.96153846153845
Sunday,7,52,20,member,14465,278.1730769230769
Sunday,7,52,21,casual,8290,159.42307692307693
Sunday,7,52,21,member,11269,216.71153846153845
Sunday,7,52,22,casual,7074,136.03846153846155
Sunday,7,52,22,member,8281,159.25
Sunday,7,52,23,casual,4623,88.90384615384616
Sunday,7,52,23,member,4815,92.59615384615384
