start_station,end_station,ride_type,route_percent_x_rider_type,running_count,total_count
Adler Planetarium,Shedd Aquarium,casual,0.026786243580632814,126329,1366373
Kimbark Ave & 53rd St,Ellis Ave & 55th St,casual,0.02663987066489165,126693,1366373
Calumet Ave & 33rd St,State St & 33rd St,member,0.026478274989710567,49531,2534153
Clinton St & Jackson Blvd,Clinton St & Lake St,member,0.026399353156656286,50200,2534153
Wabash Ave & Grand Ave,Navy Pier,casual,0.026347124833409324,127053,1366373
Kimbark Ave & 53rd St,Woodlawn Ave & 58th St,member,0.02620204857402059,50864,2534153
LaSalle St & Illinois St,LaSalle St & Illinois St,casual,0.02620075191766816,127411,1366373
Wabash Ave & 9th St,Wabash Ave & 9th St,casual,0.02612756545979758,127768,1366373
Navy Pier,DuSable Lake Shore Dr & Belmont Ave,casual,0.026054379001927003,128124,1366373
Loomis St & Lexington St,Morgan St & Polk St,casual,0.026054379001927003,128480,1366373
DuSable Lake Shore Dr & North Blvd,Theater on the Lake,casual,0.026054379001927003,128836,1366373
Calumet Ave & 18th St,Calumet Ave & 18th St,casual,0.026054379001927003,129192,1366373
Ellis Ave & 55th St,Ellis Ave & 53rd St,member,0.025767978492222055,51517,2534153
Michigan Ave & Oak St,DuSable Lake Shore Dr & Belmont Ave,casual,0.02568844671257409,129543,1366373
Broadway & Belmont Ave,Wilton Ave & Belmont Ave,member,0.025649595742640637,52167,2534153
Cityfront Plaza Dr & Pioneer Ct,Navy Pier,casual,0.025468887338962347,129891,1366373
McClurg Ct & Erie St,McClurg Ct & Erie St,casual,0.025322514423221185,130237,1366373
Millennium Park,Adler Planetarium,casual,0.025322514423221185,130583,1366373
State St & 33rd St,Calumet Ave & 33rd St,member,0.025254986577369246,52807,2534153
Clark St & Armitage Ave,Navy Pier,casual,0.025176141507480026,130927,1366373
Michigan Ave & Oak St,Millennium Park,casual,0.025176141507480026,131271,1366373
Navy Pier,Michigan Ave & Jackson Blvd,casual,0.02502976859173886,131613,1366373
Shedd Aquarium,Michigan Ave & 8th St,casual,0.024956582133868276,131954,1366373
Navy Pier,Michigan Ave & Lake St,casual,0.024810209218127113,132293,1366373
Wells St & 19th St,Wells St & 19th St,casual,0.024663836302385955,132630,1366373
McClurg Ct & Ohio St,Navy Pier,casual,0.024663836302385955,132967,1366373
Indiana Ave & Roosevelt Rd,DuSable Lake Shore Dr & Monroe St,casual,0.02459064984451537,133303,1366373
Halsted St & Maxwell St,Halsted St & Polk St,casual,0.02459064984451537,133639,1366373
Millennium Park,Field Museum,casual,0.02451746338664479,133974,1366373
Millennium Park,Michigan Ave & 8th St,casual,0.02451746338664479,134309,1366373
Broadway & Waveland Ave,Sheridan Rd & Montrose Ave,member,0.024505229163353594,53428,2534153
Ellis Ave & 55th St,Shore Dr & 55th St,member,0.024426307330299317,54047,2534153
Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),casual,0.024371090470903627,134642,1366373
DuSable Lake Shore Dr & Monroe St,Michigan Ave & 8th St,casual,0.024297904013033046,134974,1366373
Kingsbury St & Erie St,Kingsbury St & Kinzie St,member,0.024229002747663618,54661,2534153
Blackstone Ave & 59th St,University Ave & 57th St,casual,0.024224717555162464,135305,1366373
Ellis Ave & 55th St,University Ave & 57th St,member,0.02418954183113648,55274,2534153
Shore Dr & 55th St,University Ave & 57th St,member,0.024150080914609337,55886,2534153
Shore Dr & 55th St,Ellis Ave & 55th St,member,0.0241106199980822,56497,2534153
DuSable Lake Shore Dr & Belmont Ave,Navy Pier,casual,0.024005158181550718,135633,1366373
Michigan Ave & 8th St,Shedd Aquarium,casual,0.024005158181550718,135961,1366373
Southport Ave & Roscoe St,Southport Ave & Waveland Ave,member,0.023716010832810806,57098,2534153
Navy Pier,Clark St & Lincoln Ave,casual,0.023712412350068393,136285,1366373
Navy Pier,McClurg Ct & Ohio St,casual,0.023639225892197812,136608,1366373
Ashland Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,member,0.023637088999756528,57697,2534153
Broadway & Cornelia Ave,Wilton Ave & Belmont Ave,member,0.023637088999756528,58296,2534153
Walsh Park,Walsh Park,casual,0.02341966651858607,136928,1366373
Broadway & Waveland Ave,Clarendon Ave & Gordon Ter,member,0.02340032350059369,58889,2534153
DuSable Lake Shore Dr & Diversey Pkwy,Michigan Ave & Oak St,casual,0.02312692068710374,138517,1366373
Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,member,0.023124097084903712,59475,2534153
Ellis Ave & 60th St,University Ave & 59th St,member,0.023005714335322294,60058,2534153
Wilton Ave & Belmont Ave,Broadway & Cornelia Ave,member,0.02284787066921374,60637,2534153
Wells St & Huron St,Wells St & Elm St,casual,0.022760988397750835,139141,1366373
Clinton St & Jackson Blvd,Clinton St & Madison St,member,0.02272948791963232,61213,2534153
