start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
Navy Pier,Adler Planetarium,casual,0.03644685601954957,498,106026,1366373,87,7.75966738218627
DuSable Lake Shore Dr & Monroe St,Burnham Harbor,casual,0.03644685601954957,498,106524,1366373,88,7.796114238205819
Dusable Harbor,Shedd Aquarium,casual,0.03630048310380841,496,107020,1366373,89,7.832414721309627
Columbus Dr & Randolph St,Navy Pier,casual,0.036007737272326076,492,107512,1366373,90,7.868422458581954
McCormick Place,McCormick Place,casual,0.035495432067232005,485,107997,1366373,91,7.903917890649185
Fort Dearborn Dr & 31st St*,Fort Dearborn Dr & 31st St*,casual,0.035495432067232005,485,108482,1366373,92,7.939413322716418
Navy Pier,Michigan Ave & Washington St,casual,0.03534905915149084,483,108965,1366373,93,7.974762381867909
DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave,casual,0.03483675394639677,476,109441,1366373,94,8.009599135814305
Buckingham Fountain,Buckingham Fountain,casual,0.03425126228343212,468,109909,1366373,95,8.043850398097737
Lincoln Park Conservatory,Navy Pier,casual,0.03403170290982038,465,110374,1366373,96,8.077882101007559
Fairbanks Ct & Grand Ave,Fairbanks Ct & Grand Ave,casual,0.03403170290982038,465,110839,1366373,97,8.111913803917378
Benson Ave & Church St,Sheridan Rd & Noyes St (NU),casual,0.03351939770472631,458,111297,1366373,98,8.145433201622104
Kimbark Ave & 53rd St,University Ave & 57th St,casual,0.033299838331114565,455,111752,1366373,99,8.178733039953219
Navy Pier,Lincoln Park Conservatory,casual,0.03322665187324398,454,112206,1366373,100,8.211959691826463
DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,casual,0.03322665187324398,454,112660,1366373,101,8.245186343699707
Navy Pier,Fairbanks Ct & Grand Ave,casual,0.03286071958389108,449,113109,1366373,102,8.278047063283598
Shedd Aquarium,Michigan Ave & Jackson Blvd,casual,0.032567973752408746,445,113554,1366373,103,8.310615037036007
Dusable Harbor,Theater on the Lake,casual,0.032202041463055844,440,113994,1366373,104,8.342817078499062
Indiana Ave & Roosevelt Rd,Navy Pier,casual,0.032055668547314675,438,114432,1366373,105,8.374872747046377
Stetson Ave & South Water St,Stetson Ave & South Water St,casual,0.031836109173702935,435,114867,1366373,106,8.40670885622008
Shedd Aquarium,Indiana Ave & Roosevelt Rd,casual,0.03168973625796177,433,115300,1366373,107,8.438398592478043
DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,casual,0.03139699042647944,429,115729,1366373,108,8.46979558290452
Michigan Ave & Washington St,Navy Pier,casual,0.03110424459499712,425,116154,1366373,109,8.500899827499518
Clark St & Armitage Ave,Clark St & Armitage Ave,casual,0.03095787167925596,423,116577,1366373,110,8.531857699178774
Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr,casual,0.030738312305644215,420,116997,1366373,111,8.56259601148442
Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,casual,0.03066512584777363,419,117416,1366373,112,8.593261137332192
Navy Pier,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.03007963418480898,411,117827,1366373,113,8.623340771517002
Burnham Harbor,DuSable Lake Shore Dr & Monroe St,casual,0.030006447726938397,410,118237,1366373,114,8.65334721924394
Navy Pier,Field Museum,casual,0.029420956063973748,402,118639,1366373,115,8.682768175307913
Dusable Harbor,Michigan Ave & Oak St,casual,0.029347769606103167,401,119040,1366373,116,8.712115944914018
Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,casual,0.029347769606103167,401,119441,1366373,117,8.74146371452012
Indiana Ave & Roosevelt Rd,Millennium Park,casual,0.02912821023249142,398,119839,1366373,118,8.770591924752612
Dusable Harbor,Millennium Park,casual,0.02912821023249142,398,120237,1366373,119,8.799720134985103
Navy Pier,Indiana Ave & Roosevelt Rd,casual,0.02905502377462084,397,120634,1366373,120,8.828775158759724
Burnham Harbor,Burnham Harbor,casual,0.02898183731675026,396,121030,1366373,121,8.857756996076475
Indiana Ave & Roosevelt Rd,Shedd Aquarium,casual,0.028835464401009096,394,121424,1366373,122,8.886592460477482
DuSable Lake Shore Dr & North Blvd,Dusable Harbor,casual,0.028835464401009096,394,121818,1366373,123,8.915427924878493
New St & Illinois St,Navy Pier,casual,0.02861590502739735,391,122209,1366373,124,8.94404382990589
Adler Planetarium,Millennium Park,casual,0.028542718569526768,390,122599,1366373,125,8.972586548475418
Wabash Ave & Wacker Pl,Wabash Ave & Wacker Pl,casual,0.028396345653785605,388,122987,1366373,126,9.000982894129201
Ellis Ave & 55th St,Kimbark Ave & 53rd St,casual,0.02795722690656212,382,123369,1366373,127,9.028940121035763
Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,casual,0.027810853990820956,380,123749,1366373,128,9.056750975026585
Millennium Park,Michigan Ave & Oak St,casual,0.027078989412115142,370,124119,1366373,129,9.0838299644387
Michigan Ave & Jackson Blvd,Navy Pier,casual,0.027078989412115142,370,124489,1366373,130,9.110908953850815
Lake Park Ave & 35th St,Lake Park Ave & 35th St,casual,0.027078989412115142,370,124859,1366373,131,9.13798794326293
Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,casual,0.027005802954244557,369,125228,1366373,132,9.164993746217174
Shedd Aquarium,Michigan Ave & Oak St,casual,0.027005802954244557,369,125597,1366373,133,9.19199954917142
Marine Dr & Ainslie St,Marine Dr & Ainslie St,casual,0.026786243580632814,366,125963,1366373,134,9.218785792752051
Adler Planetarium,Shedd Aquarium,casual,0.026786243580632814,366,126329,1366373,135,9.245572036332685
Kimbark Ave & 53rd St,Ellis Ave & 55th St,casual,0.02663987066489165,364,126693,1366373,136,9.272211906997576
Wabash Ave & Grand Ave,Navy Pier,casual,0.026347124833409324,360,127053,1366373,137,9.298559031830985
