end_station_name,end_lat,end_lng,stops,percent_of_stops
Clark St & Drummond Pl,41.931247999999634,-87.64433599999866,11773,0.35779463809496315
Southport Ave & Roscoe St,41.94373899999961,-87.66401999999846,11410,0.34676266207963385
Larrabee St & Webster Ave,41.92182199999936,-87.64413999999971,11340,0.3446352837846668
Clark St & Schiller St,41.90799300000055,-87.63150100000101,11243,0.3416873452902124
Loomis St & Lexington St,41.872228732240835,-87.66136385500431,11194,0.34019818048373546
Clarendon Ave & Gordon Ter,41.95786652415224,-87.64950513839722,11137,0.33846588672926226
Canal St & Jackson Blvd,41.87812811112845,-87.63996968169967,11114,0.33776689100377305
Sheridan Rd & Irving Park Rd,41.9542450000006,-87.65440599999928,11082,0.3367943752117881
McClurg Ct & Erie St,41.894503000000704,-87.6178539999991,10913,0.3316582761853676
Pine Grove Ave & Irving Park Rd,41.95436431676947,-87.64792842264632,10891,0.3309896715783779
Wells St & Walton St,41.89993000999895,-87.63443007000019,10881,0.33068576039338266
Broadway & Sheridan Rd,41.95283300000097,-87.64999299999918,10798,0.3281632975579217
Sedgwick St & Huron St,41.89466600000007,-87.63843700000075,10780,0.3276162574249301
DuSable Lake Shore Dr & Monroe St,41.880958003585256,-87.61674300022965,10675,0.3244251899824795
Sheffield Ave & Kingsbury St,41.91052199999957,-87.65310600000018,10555,0.320778255762536
Wilton Ave & Diversey Pkwy,41.932417991947105,-87.65270499668682,10523,0.319805739970551
Clark St & Winnemac Ave,41.9733476404732,-87.6678554713726,10482,0.3185597041120703
Lakeview Ave & Fullerton Pkwy,41.925858013580054,-87.63897300175437,10464,0.3180126639790788
Aberdeen St & Jackson Blvd,41.877726129999274,-87.65478743000081,10440,0.31728327713509
DuSable Lake Shore Dr & Belmont Ave,41.94077499999919,-87.63919200000127,10439,0.3172528860165905
Wells St & Evergreen Ave,41.90672448882653,-87.63482999972605,10436,0.3171617126610919
Franklin St & Lake St,41.885837000000684,-87.63550000000009,10421,0.316705845883599
Halsted St & Roscoe St,41.94366999999941,-87.64895000000142,10418,0.3166146725281004
Clark St & Newport St,41.94453999999865,-87.65467800000015,10415,0.3165234991726018
Halsted St & Wrightwood Ave,41.929143000000636,-87.64907699999964,10394,0.31588528568411167
DuSable Lake Shore Dr & Wellington Ave,41.93668844949987,-87.63682901859283,10283,0.31251187153066384
Franklin St & Illinois St,41.89102331166077,-87.63547987248363,10255,0.31166092021267705
