end_station_name,end_lat,end_lng,stops,percent_of_stops
Lake Park Ave & 53rd St,41.7994942937297,-87.5864498958997,2216,0.12365919614826157
Clark St & Ida B Wells Dr,41.8759326655003,-87.63058453549952,2213,0.1234917874892161
Broadway & Argyle St,41.974229999999835,-87.65977350000028,2212,0.12343598460286759
Morgan St & Polk St,41.87173700000038,-87.65102999999957,2200,0.12276634996668569
State St & Pearson St,41.897448000000146,-87.62872199999987,2192,0.12231992687589772
Fairbanks St & Superior St,41.89574799999999,-87.62010400000067,2191,0.12226412398954924
Paulina St & Division St,41.90355289116383,-87.67042920730839,2189,0.12215251821685225
California Ave & Cortez St,41.90036300000028,-87.69670400000085,2175,0.12137127780797335
Winthrop Ave & Lawrence Ave,41.96881199999955,-87.6576589999998,2172,0.12120386914892785
Desplaines St & Randolph St,41.88370299999985,-87.64423800000054,2170,0.12109226337623089
Eckhart Park,41.89637337000019,-87.66098385999949,2169,0.12103646048988237
Damen Ave & Leland Ave,41.967081000000114,-87.67907600000032,2162,0.12064584028544292
Canal St & Monroe St,41.882905600000484,-87.63974090000046,2162,0.12064584028544292
Damen Ave & Charleston St,41.92008199999998,-87.67785500000085,2150,0.11997620564926101
Lincoln Ave & Sunnyside Ave,41.963004000000026,-87.68478100000108,2149,0.1199204027629125
Damen Ave & Foster Ave,41.9758109755749,-87.67950989857952,2148,0.11986459987656402
Blackstone Ave & 59th St,41.78787699999985,-87.59046100000093,2124,0.11852533060420017
Racine Ave & 18th St,41.8583996000004,-87.65642259999927,2114,0.11796730174071524
Morgan St & 18th St,41.85808600000015,-87.65107300000062,2109,0.11768828730897277
Wacker Dr & Washington St,41.88314336439075,-87.63724207878113,2089,0.11657222958200289
Ashland Ave & Grace St,41.95077207405457,-87.66872860415548,2070,0.11551197474138153
Southport Ave & Clybourn Ave,41.920971011346055,-87.66443744023178,2069,0.11545617185503303
Kingsbury St & Kinzie St 2,41.88918800000061,-87.63838700000265,2066,0.11528876319598755
Walsh Park,41.91460999999985,-87.66796800000061,2054,0.11461912855980562
Ashland Ave & Chicago Ave,41.89595435734341,-87.6677280664444,2053,0.11456332567345714
Ashland Ave & Lake St,41.885920000000255,-87.6671700000004,2053,0.11456332567345714
Wood St & Chicago Ave,41.89563400000031,-87.67206899999978,2046,0.11417270546901769
Milwaukee Ave & Fullerton Ave,41.924690100434766,-87.70059497825609,2038,0.11372628237822974
Ashland Ave & Wellington Ave,41.93608300000019,-87.66980699999924,2036,0.11361467660553275
Spaulding Ave & Armitage Ave,41.917108034789145,-87.71022096276283,2032,0.11339146506013877
Canal St & Taylor St,41.87025699999992,-87.6394740000001,2025,0.11300084485569932
Aberdeen St & Monroe St,41.88028070924666,-87.65511304972307,2018,0.11261022465125986
Western Ave & Walton St,41.89841768944974,-87.6865960163996,2007,0.11199639290142642
Halsted St & Polk St,41.87183999999983,-87.64664000000151,1993,0.11121515249254753
St Clair St & Ohio St,41.892379999999974,-87.62264000000069,1967,0.10976427744748668
Clinton St & Washington Blvd 2,41.883378747252195,-87.6411700659348,1962,0.10948526301574421
Wolcott (Ravenswood) Ave & Montrose Ave,41.961405999999954,-87.67616899999923,1956,0.10915044569765327
Blue Island Ave & 18th St,41.857556000000116,-87.6615349999999,1942,0.10836920528877435
Rush St & Illinois St,41.89086999999971,-87.6258400000004,1898,0.10591387828944064
Jefferson St & Monroe St,41.880329633634574,-87.64274597167967,1892,0.10557906097134967
Western Ave & Leland Ave,41.965720422647635,-87.68845572169063,1887,0.1053000465396072
Seeley Ave & Roscoe St,41.94340300000011,-87.67961799999999,1872,0.1044630032443798
Ashland Ave & Wrightwood Ave,41.9288299989022,-87.66850677987073,1868,0.10423979169898584
Damen Ave & Wellington Ave,41.9358800000004,-87.67841999999946,1865,0.10407238303994036
Ada St & Washington Blvd,41.8828299999998,-87.66120599999978,1858,0.1036817628355009
Sheridan Rd & Lawrence Ave,41.969517000000074,-87.65469100000075,1852,0.10334694551740993
Larrabee St & North Ave,41.91020999999963,-87.64349999999928,1847,0.10306793108566746
LaSalle St & Adams St,41.8793443734602,-87.63198522129908,1845,0.1029563253129705
Ashland Ave & Grand Ave,41.891071999999774,-87.66661100000006,1833,0.10228669067678857
Elizabeth St & Fulton St,41.88674360684884,-87.65943034453083,1830,0.10211928201774309
Peoria St & Kinzie St,41.88896000000013,-87.6497299999997,1825,0.10184026758600062
Larrabee St & Oak St,41.90031783427877,-87.64238663675532,1825,0.10184026758600062
Clark St & 9th St (AMLI),41.87081600000002,-87.63124600000015,1800,0.10044519542728829
Leavitt St & North Ave,41.910192432652735,-87.68233923469457,1800,0.10044519542728829
Leavitt St & Armitage Ave,41.91780499999996,-87.6824370000004,1791,0.09994296945015184
Wabash Ave & Cermak Rd,41.85261899999994,-87.62648800000053,1791,0.09994296945015184
Ellis Ave & 58th St,41.78874613008247,-87.60133399440255,1790,0.09988716656380335
Bissell St & Armitage Ave,41.918295562935974,-87.65218332409859,1778,0.09921753192762142
Wood St & Augusta Blvd,41.89918100000033,-87.67220000000066,1774,0.09899432038222744
Ashland Ave & Augusta Blvd,41.89962000000007,-87.66840999999913,1767,0.09860370017778798
Western Ave & Division St,41.902892999999914,-87.68727499999946,1760,0.09821307997334855
Leavitt St & Chicago Ave,41.895501000000074,-87.68201699999946,1759,0.09815727708700005
Paulina St & Flournoy St,41.87306108789832,-87.66913488507271,1755,0.09793406554160608
Lincoln Ave & Belle Plaine Ave,41.956003550785404,-87.68016144633293,1754,0.09787826265525758
Leavitt St & Belmont Ave,41.93935399999967,-87.68328199999998,1753,0.09782245976890909
California Ave & Francis Pl,41.91849116184235,-87.6974228268954,1749,0.09759924822351511
Lake Park Ave & 56th St,41.79161000000019,-87.58748000000027,1748,0.09754344533716662
Milwaukee Ave & Rockwell St,41.92033000000034,-87.69309000000042,1738,0.09698541647368168
MLK Jr Dr & 29th St,41.84205199999999,-87.61699999999931,1727,0.09637158472384826
Paulina St & 18th St,41.857900999999806,-87.66874500000021,1724,0.09620417606480278
Lincoln Ave & Roscoe St*,41.94335024701694,-87.67066776752472,1721,0.0960367674057573
Halsted St & Belden St,41.92365000000022,-87.64893999999939,1721,0.0960367674057573
California Ave & Division St,41.90302899999985,-87.69747400000023,1721,0.0960367674057573
Ravenswood Ave & Irving Park Rd,41.95468999999971,-87.67392999999984,1717,0.09581355586036332
Lincoln Ave & Byron St,41.95237199999985,-87.67729600000047,1715,0.09570195008766633
Sheffield Ave & Addison St,41.94701699999946,-87.65441800000005,1692,0.09441848370165098
Broadway & Ridge Ave,41.98404461069991,-87.66027382949957,1682,0.09386045483816605
