start_station_name,station_rides,total_stations,station_percent
Sheffield Ave & Wellington Ave,83,84559,0.09815631689116475
Cottage Grove Ave & Oakwood Blvd,82,84559,0.09697371066356036
Halsted St & Dickens Ave,80,84559,0.09460849820835157
Clark St & Wellington Ave,78,84559,0.09224328575314278
Sedgwick St & North Ave,78,84559,0.09224328575314278
Michigan Ave & 11th St,77,84559,0.09106067952553838
Franklin St & Monroe St,77,84559,0.09106067952553838
Wentworth Ave & 24th St,77,84559,0.09106067952553838
Harper Ave & 59th St,76,84559,0.08987807329793399
Chicago Ave & Washington St,76,84559,0.08987807329793399
Aberdeen St & Jackson Blvd,76,84559,0.08987807329793399
Sheffield Ave & Fullerton Ave,76,84559,0.08987807329793399
Wells St & Walton St,76,84559,0.08987807329793399
Sheridan Rd & Columbia Ave,75,84559,0.08869546707032959
Evanston Civic Center,73,84559,0.08633025461512081
Winthrop Ave & Lawrence Ave,73,84559,0.08633025461512081
Shore Dr & 53rd St,72,84559,0.08514764838751641
St. Clair St & Erie St 2,71,84559,0.08396504215991202
Kingsbury St & Kinzie St,71,84559,0.08396504215991202
Desplaines St & Randolph St,70,84559,0.08278243593230762
LaSalle St & Washington St,70,84559,0.08278243593230762
Clark St & Bryn Mawr Ave,69,84559,0.08159982970470323
Sedgwick St & Huron St,68,84559,0.08041722347709883
Rhodes Ave & 32nd St,68,84559,0.08041722347709883
Halsted St & Wrightwood Ave,67,84559,0.07923461724949443
Glenwood Ave & Morse Ave,67,84559,0.07923461724949443
Delano Ct & Roosevelt Rd,67,84559,0.07923461724949443
Sheridan Rd & Berwyn Ave,67,84559,0.07923461724949443
Kingsbury St & Erie St,66,84559,0.07805201102189005
Racine Ave & Belmont Ave,66,84559,0.07805201102189005
Canal St & Jackson Blvd,66,84559,0.07805201102189005
Damen Ave & Cortland St,66,84559,0.07805201102189005
Sheffield Ave & Webster Ave,65,84559,0.07686940479428565
Sheridan Rd & Greenleaf Ave,65,84559,0.07686940479428565
Lincoln Ave & Diversey Pkwy,65,84559,0.07686940479428565
Woodlawn Ave & Lake Park Ave,65,84559,0.07686940479428565
Orleans St & Chestnut St (NEXT Apts),64,84559,0.07568679856668126
Canal St & Monroe St,64,84559,0.07568679856668126
Ellis Ave & 58th St,64,84559,0.07568679856668126
State St & 19th St,63,84559,0.07450419233907686
Bissell St & Armitage Ave*,63,84559,0.07450419233907686
Paulina Ave & North Ave,63,84559,0.07450419233907686
Ashland Ave & Division St,63,84559,0.07450419233907686
Franklin St & Illinois St,62,84559,0.07332158611147246
Museum Campus Metra Station,62,84559,0.07332158611147246
Larrabee St & Armitage Ave,62,84559,0.07332158611147246
Ada St & Washington Blvd,62,84559,0.07332158611147246
California Ave & Milwaukee Ave,60,84559,0.07095637365626367
Milwaukee Ave & Grand Ave,60,84559,0.07095637365626367
Wells St & 19th St,60,84559,0.07095637365626367
Inner Lake Shore Dr & Aldine Ave,59,84559,0.06977376742865929
Wilton Ave & Diversey Pkwy,59,84559,0.06977376742865929
Southport Ave & Wellington Ave,59,84559,0.06977376742865929
Stony Island Ave & 63rd St,58,84559,0.06859116120105489
Halsted St & Fulton St,58,84559,0.06859116120105489
Albany Ave & Bloomingdale Ave,57,84559,0.0674085549734505
Green St & Randolph St*,57,84559,0.0674085549734505
Western Ave & Winnebago Ave,57,84559,0.0674085549734505
Southport Ave & Irving Park Rd,57,84559,0.0674085549734505
Peoria St & Jackson Blvd,56,84559,0.0662259487458461
Dearborn St & Division St,56,84559,0.0662259487458461
Clinton St & Lake St,56,84559,0.0662259487458461
Southport Ave & Belmont Ave,55,84559,0.0650433425182417
Clark St & 9th St (AMLI),54,84559,0.06386073629063731
Clinton St & Roosevelt Rd,54,84559,0.06386073629063731
Sheridan Rd & Buena Ave,54,84559,0.06386073629063731
Harper Ave & 55th St,54,84559,0.06386073629063731
California Ave & Montrose Ave,53,84559,0.06267813006303291
Ashland Ave & Blackhawk St,53,84559,0.06267813006303291
Burling St & Diversey Pkwy,53,84559,0.06267813006303291
Jeffery Blvd & 67th St,53,84559,0.06267813006303291
Lincoln Ave & Dickens Ave,52,84559,0.061495523835428514
900 W Harrison St,52,84559,0.061495523835428514
Clark St & Leland Ave,52,84559,0.061495523835428514
Morgan St & Lake St*,52,84559,0.061495523835428514
Keeler Ave & Carmen Ave,51,84559,0.060312917607824125
Big Marsh Park,51,84559,0.060312917607824125
Sheridan Rd & Lawrence Ave,50,84559,0.059130311380219736
Halsted St & Willow St,49,84559,0.05794770515261534
Indiana Ave & 26th St,49,84559,0.05794770515261534
Clark St & Lunt Ave,49,84559,0.05794770515261534
Morgan St & Polk St,48,84559,0.05676509892501094
Damen Ave & Wicker Park Ave,48,84559,0.05676509892501094
Wells St & Institute Pl,48,84559,0.05676509892501094
Damen Ave & Foster Ave,48,84559,0.05676509892501094
Jefferson St & Monroe St,48,84559,0.05676509892501094
Damen Ave & Chicago Ave,47,84559,0.055582492697406546
Indiana Ave & 31st St,47,84559,0.055582492697406546
Honore St & Division St,46,84559,0.05439988646980215
Clifton Ave & Armitage Ave,46,84559,0.05439988646980215
Dorchester Ave & 49th St,46,84559,0.05439988646980215
Sangamon St & Lake St,45,84559,0.053217280242197754
Clark St & Eddy St ,45,84559,0.053217280242197754
May St & Taylor St,45,84559,0.053217280242197754
Elizabeth St & Randolph St,45,84559,0.053217280242197754
Larrabee St & North Ave,44,84559,0.05203467401459336
Glenwood Ave & Touhy Ave,44,84559,0.05203467401459336
Lincoln Ave & Sunnyside Ave,44,84559,0.05203467401459336
Green St & Washington Blvd,44,84559,0.05203467401459336
Orleans St & Hubbard St,44,84559,0.05203467401459336
Dearborn St & Maple St,43,84559,0.050852067786988975
Dayton St & North Ave,43,84559,0.050852067786988975
Wabash Ave & Jackson Blvd,43,84559,0.050852067786988975
Wood St & Milwaukee Ave,43,84559,0.050852067786988975
Ashland Ave & Lake St,43,84559,0.050852067786988975
Clinton St & Tilden St,42,84559,0.04966946155938458
Fulton Market,41,84559,0.04848685533178018
Ellis Ave & 53rd St,41,84559,0.04848685533178018
Greenwood Ave & 47th St,41,84559,0.04848685533178018
Damen Ave & Madison St,41,84559,0.04848685533178018
Troy St & North Ave,41,84559,0.04848685533178018
Wood St & Beach Ave,41,84559,0.04848685533178018
Blue Island Ave & 18th St,41,84559,0.04848685533178018
Clark St & Elmdale Ave,40,84559,0.047304249104175786
Winthrop Ave & Bryn Mawr Ave,40,84559,0.047304249104175786
Franklin St & Washington St,40,84559,0.047304249104175786
Sheffield Ave & Kingsbury St,40,84559,0.047304249104175786
Lincoln Ave & Melrose St,40,84559,0.047304249104175786
Damen Ave & Division St,39,84559,0.04612164287657139
Throop St & Taylor St,39,84559,0.04612164287657139
Greenview Ave & Jarvis Ave,39,84559,0.04612164287657139
California Ave & Division St,39,84559,0.04612164287657139
Eastlake Ter & Howard St,39,84559,0.04612164287657139
MLK Jr Dr & Pershing Rd,39,84559,0.04612164287657139
Damen Ave & Cullerton St,39,84559,0.04612164287657139
