end_station_name,end_lat,end_lng,casual_stops,percent_of_casual_stops
Damen Ave & Pierce Ave,41.90930279513451,-87.67770096419588,5931,0.3309669189329149
Broadway & Waveland Ave,41.94907399999991,-87.6486359999989,5906,0.3295718467742026
Clark St & Wrightwood Ave,41.929545999999526,-87.64311800000313,5897,0.32906962079706614
Field Blvd & South Water St,41.88634906269108,-87.61751654710031,5755,0.32114561093558003
Halsted St & Clybourn Ave,41.909667999999236,-87.648128,5749,0.32081079361748904
Clark St & Lake St,41.886020742632674,-87.63087543554322,5734,0.31997375032226166
State St & Randolph St,41.884621072579534,-87.62783423066139,5709,0.31857867816354934
State St & Kinzie St,41.88937546663277,-87.62707650661469,5663,0.3160117453915186
Halsted St & Roscoe St,41.943669999999315,-87.64895000000145,5654,0.31550951941438216
Green St & Madison St,41.881859328039404,-87.64926373958588,5629,0.31411444725566984
Southport Ave & Roscoe St,41.94373899999948,-87.66401999999783,5588,0.3118265289153816
Sheffield Ave & Fullerton Ave,41.92561629999973,-87.65365739999949,5566,0.3105988654157148
Sheffield Ave & Wrightwood Ave,41.928711999999955,-87.65383299999937,5512,0.3075855095528961
Clark St & North Ave,41.911974000000164,-87.6319420000016,5511,0.30752970666654766
Clark St & Schiller St,41.90799300000054,-87.63150099999919,5501,0.3069716778030627
Lincoln Ave & Fullerton Ave,41.92416102906711,-87.64638036489487,5433,0.30317708153136513
Orleans St & Merchandise Mart Plaza,41.88824299999944,-87.6363899999997,5383,0.30038693721394044
Rush St & Cedar St,41.9023087012189,-87.62769052799821,5317,0.2967039467149399
St. Clair St & Erie St,41.8943477849261,-87.62280135667535,5226,0.291625884057227
University Ave & 57th St,41.79147800282578,-87.59986052955227,5222,0.291402672511833
Clark St & Winnemac Ave,41.97334764047299,-87.6678554713726,5206,0.2905098263302571
Burnham Harbor,41.85741178707395,-87.61379152536392,5183,0.28922635994424173
Ravenswood Ave & Lawrence Ave,41.968445,-87.67422600000161,5151,0.28744066758109
Clinton St & Washington Blvd,41.88324889514108,-87.64117694195338,5130,0.28626880696777157
Rush St & Superior St,41.89576474564038,-87.6259080327,5081,0.2835344655366954
Halsted St & Wrightwood Ave,41.929143000000614,-87.64907699999962,5068,0.282809028014165
Cityfront Plaza Dr & Pioneer Ct,41.8905729999998,-87.62207199999877,5050,0.2818045760598921
Shore Dr & 55th St,41.79521199999973,-87.58071499999929,5046,0.28158136451449817
Federal St & Polk St,41.872077632850164,-87.62954377289886,5045,0.2815255616281496
Michigan Ave & Ida B Wells Dr,41.876202999999826,-87.62446399999966,5040,0.2812465471964072
Sheffield Ave & Wellington Ave,41.9362534840416,-87.65266209706002,5025,0.28040950390117975
Lakefront Trail & Wilson Ave,41.9668558999992,-87.64309260000105,5007,0.2794050519469069
Wabash Ave & 9th St,41.87076900000045,-87.62573400000076,4945,0.2759452729933003
McCormick Place,41.85137517290012,-87.61883464890015,4937,0.2754988499025124
Franklin St & Jackson Blvd,41.877707955899574,-87.63532114080076,4918,0.274438595061891
Pine Grove Ave & Irving Park Rd,41.954364316768896,-87.6479284226461,4912,0.2741037777438
Stockton Dr & Wrightwood Ave,41.93132000000123,-87.63874200000038,4861,0.2712578305400269
Clark St & Grace St,41.950779999999455,-87.65917199999971,4813,0.2685792919952992
Daley Center Plaza,41.88424088150609,-87.6296335105294,4762,0.265733344791526
Sheffield Ave & Webster Ave,41.9215400000006,-87.65381800000138,4741,0.26456148417820763
Clark St & Drummond Pl,41.93124799999977,-87.64433599999869,4689,0.26165973408808596
Southport Ave & Wellington Ave,41.93577461766388,-87.66360014677048,4652,0.2595950272931917
Broadway & Belmont Ave,41.940106003638924,-87.64545100451758,4605,0.25697229163481256
Wabash Ave & Wacker Pl,41.886874999999044,-87.62603000000009,4587,0.25596783968053965
LaSalle Dr & Huron St,41.894876999999575,-87.63232600000025,4581,0.25563302236244867
Clark St & Berwyn Ave,41.97802373714628,-87.66817962068463,4569,0.25496338772626675
Canal St & Adams St,41.87925509174552,-87.63990406072244,4551,0.2539589357719939
Buckingham Fountain,41.87001149787571,-87.62374941776824,4542,0.25345670979485746
Kingsbury St & Erie St,41.89391390000116,-87.64173580000123,4541,0.25340090690850897
Mies van der Rohe Way & Chicago Ave,41.89694462637085,-87.62175768613815,4532,0.2528986809313725
Sheridan Rd & Irving Park Rd,41.954245000000626,-87.65440599999984,4526,0.25256386361328154
Sedgwick St & North Ave,41.91098300000026,-87.63852499999975,4509,0.2516152145453571
