start_hour,day_of_the_week_started_on,member_rides,casual_rides,member_daily_percent,casual_daily_percent
14,Wednesday,25001,12443,3.921073515619364,4.949128542904645
15,Wednesday,37379,15523,5.86239778170218,6.174180050752134
16,Wednesday,63416,21905,9.945954084497323,8.712582233571183
17,Wednesday,78125,29331,12.252864621725642,11.666229148271007
18,Wednesday,58267,25467,9.138402085300326,10.129346347516885
19,Wednesday,38995,19203,6.11584583582965,7.63787795623225
20,Wednesday,27329,14186,4.286189276763393,5.642396328027428
21,Wednesday,21420,12110,3.35944141052625,4.816679792218537
22,Wednesday,13732,8873,2.1536811134148675,3.52918247699051
23,Wednesday,6788,5124,1.064607296669103,2.038040235782641
0,Thursday,3468,3547,0.5308499109127311,1.2195121951219512
1,Thursday,1811,2060,0.27721141541607736,0.7082591265720947
2,Thursday,955,1228,0.14618271768213909,0.4222049550633651
3,Thursday,733,773,0.11220097598011303,0.2657690800195287
4,Thursday,1387,897,0.21230935018337893,0.30840215365784895
5,Thursday,6597,1968,1.0098087838210172,0.6766281364533409
6,Thursday,21767,4882,3.3318944667927974,1.6785053669538668
7,Thursday,45438,9950,6.955235943498467,3.420960344365214
8,Thursday,58573,13475,8.965822327535006,4.632908607067463
9,Thursday,30736,10098,4.704787445736363,3.4718449806432092
10,Thursday,21512,9620,3.2928613851080377,3.3075013580696844
11,Thursday,24977,12343,3.823252083295066,4.243709902562798
12,Thursday,29358,15073,4.4938557337300935,5.1823251528258165
13,Thursday,27722,15591,4.243431727313361,5.360421379798799
14,Thursday,28131,16594,4.306037728917544,5.705267935115212
15,Thursday,40039,19476,6.128806108141535,6.696143082096172
16,Thursday,63925,26060,9.785057830189258,8.959821766246984
17,Thursday,77103,32795,11.802226263294209,11.275416532005748
18,Thursday,57417,28325,8.788872357230764,9.738562990366301
19,Thursday,39052,20931,5.977725121385231,7.1963940671264615
20,Thursday,27197,14863,4.163069500315326,5.1101239797286615
21,Thursday,20404,12161,3.1232588184150427,4.181135552545263
22,Thursday,15411,10482,2.358975771936592,3.6038699828780074
23,Thursday,9579,7662,1.4662662331698537,2.6343113727162084
0,Friday,5264,5990,0.8781690575531046,1.6760870781800885
1,Friday,2916,3707,0.48646295057463024,1.037271251888746
2,Friday,1517,2158,0.2530741755904369,0.6038390508702222
3,Friday,1088,1166,0.18150606660672072,0.32626336112821086
4,Friday,1487,1192,0.24806941272444274,0.33353853041580395
5,Friday,6449,2311,1.0758571907598733,0.6466506239856735
6,Friday,17431,4850,2.9079340505714604,1.3570988863394706
7,Friday,31417,8453,5.241154498697927,2.3652694610778444
8,Friday,38676,10798,6.452140286839643,3.0214337679780625
9,Friday,26250,10580,4.37916750774487,2.9604342716436287
10,Friday,21568,12326,3.5980908497920523,3.448989870725838
11,Friday,26953,16897,4.4964457842379995,4.728020594325368
12,Friday,32621,21179,5.442012315053159,5.926185013151267
13,Friday,33371,22580,5.5671313867030126,6.318204712071185
14,Friday,33285,23195,5.552784399820496,6.4902904471430976
15,Friday,42673,27290,7.1189415260189275,7.636129609939
