start_station_name,station_rides,total_stations,station_percent
Damen Ave & Chicago Ave,3699,2203299,0.16788461302800936
Elston Ave & Cortland St,3697,2203299,0.1677938400552989
Stetson Ave & South Water St,3681,2203299,0.16706765627361517
Aberdeen St & Randolph St,3657,2203299,0.16597838060108955
Lincoln Ave & Diversey Pkwy,3643,2203299,0.16534296979211627
Desplaines St & Jackson Blvd,3540,2203299,0.1606681616975272
Franklin St & Lake St,3507,2203299,0.1591704076478045
Sheffield Ave & Kingsbury St,3495,2203299,0.1586257698115417
Michigan Ave & 18th St,3488,2203299,0.15830806440705505
Sheridan Rd & Noyes St (NU),3478,2203299,0.15785419954350274
Honore St & Division St,3448,2203299,0.15649260495284573
Wentworth Ave & Cermak Rd*,3433,2203299,0.1558118076575172
Sedgwick St & Huron St,3422,2203299,0.15531255630760965
Franklin St & Monroe St,3373,2203299,0.15308861847620317
Sangamon St & Lake St,3358,2203299,0.15240782118087468
Elizabeth St & Randolph St,3320,2203299,0.1506831346993758
Southport Ave & Belmont Ave,3297,2203299,0.14963924551320543
Ogden Ave & Chicago Ave,3246,2203299,0.14732453470908852
Clark St & Leland Ave,3234,2203299,0.14677989687282572
Michigan Ave & Madison St,3234,2203299,0.14677989687282572
Wabash Ave & Adams St,3231,2203299,0.14664373741376
Sheridan Rd & Buena Ave,3218,2203299,0.14605371309114196
Clifton Ave & Armitage Ave,3199,2203299,0.14519136985039252
Racine Ave & Fullerton Ave,3194,2203299,0.14496443741861637
State St & Harrison St,3174,2203299,0.1440567076915117
Damen Ave & Division St,3169,2203299,0.1438297752597355
Southport Ave & Wrightwood Ave,3153,2203299,0.1431035914780518
Bissell St & Armitage Ave*,3151,2203299,0.1430128185053413
Rush St & Hubbard St,3105,2203299,0.14092504013300056
Clark St & Arlington Pl,3098,2203299,0.14060733472851394
Broadway & Wilson Ave,3083,2203299,0.13992653743318542
Loomis St & Lexington St,3065,2203299,0.1391095806787912
State St & Van Buren St,3034,2203299,0.13770259960177897
Burling St & Diversey Pkwy,3022,2203299,0.13715796176551615
Woodlawn Ave & 55th St,3020,2203299,0.1370671887928057
Halsted St & Maxwell St,2990,2203299,0.1357055942021487
Halsted St & Willow St,2977,2203299,0.13511556987953066
Clark St & Ida B Wells Dr,2973,2203299,0.13493402393410972
Financial Pl & Ida B Wells Dr,2957,2203299,0.13420784015242598
Dearborn St & Monroe St,2951,2203299,0.13393552123429459
Larrabee St & Kingsbury St,2946,2203299,0.1337085888025184
Carpenter St & Huron St,2936,2203299,0.1332547239389661
Griffin Museum of Science and Industry,2930,2203299,0.13298240502083467
Chicago Ave & Sheridan Rd,2928,2203299,0.13289163204812418
Lincoln Ave & Melrose St,2878,2203299,0.1306223077303625
Larrabee St & Armitage Ave,2872,2203299,0.13034998881223112
LaSalle St & Jackson Blvd,2835,2203299,0.12867068881708746
Cannon Dr & Fullerton Ave,2785,2203299,0.1264013644993258
900 W Harrison St,2777,2203299,0.1260382726084839
Wells St & Institute Pl,2776,2203299,0.12599288612212867
Clark St & Montrose Ave,2769,2203299,0.12567518071764205
Wabash Ave & Washington St,2741,2203299,0.1244043590996955
Delano Ct & Roosevelt Rd,2741,2203299,0.1244043590996955
Southport Ave & Irving Park Rd,2736,2203299,0.12417742666791934
Canal St & Jackson Blvd,2736,2203299,0.12417742666791934
Dearborn St & Division St,2717,2203299,0.12331508342716989
Greenview Ave & Fullerton Ave,2710,2203299,0.12299737802268326
Morgan St & Lake St*,2680,2203299,0.12163578343202626
Aberdeen St & Carroll Ave,2660,2203299,0.12072805370492157
Ashland Ave & Division St,2636,2203299,0.11963877803239596
Ashland Ave & Blackhawk St,2630,2203299,0.11936645911426455
Wabash Ave & 16th St,2618,2203299,0.11882182127800175
Orleans St & Chestnut St (NEXT Apts),2615,2203299,0.11868566181893606
Sheridan Rd & Argyle St,2612,2203299,0.11854950235987037
Marine Dr & Ainslie St,2611,2203299,0.11850411587351513
Sangamon St & Washington Blvd,2602,2203299,0.11809563749631802
Orleans St & Hubbard St,2599,2203299,0.11795947803725233
Fulton Market,2580,2203299,0.11709713479650288
Desplaines St & Randolph St,2564,2203299,0.11637095101481915
Broadway & Oakdale Ave,2558,2203299,0.11609863209668773
Green St & Washington Blvd,2539,2203299,0.11523628885593831
Hampden Ct & Diversey Pkwy,2536,2203299,0.11510012939687259
Franklin St & Adams St ,2534,2203299,0.11500935642416213
Wilton Ave & Addison St,2533,2203299,0.1149639699378069
Damen Ave & Thomas St (Augusta Blvd),2530,2203299,0.1148278104787412
Dearborn St & Van Buren St,2529,2203299,0.11478242399238596
Calumet Ave & 21st St,2518,2203299,0.1142831726424784
Benson Ave & Church St,2509,2203299,0.1138746942652813
State St & Pearson St,2504,2203299,0.11364776183350513
Western Ave & Winnebago Ave,2482,2203299,0.11264925913368998
Damen Ave & Wicker Park Ave,2465,2203299,0.11187768886565101
Green St & Randolph St*,2453,2203299,0.1113330510293882
Fort Dearborn Dr & 31st St*,2437,2203299,0.11060686724770448
Clark St & Bryn Mawr Ave,2397,2203299,0.10879140779349512
Blackstone Ave & 59th St,2380,2203299,0.10801983752545614
Kingsbury St & Kinzie St 2,2366,2203299,0.10738442671648286
Walsh Park,2364,2203299,0.10729365374377241
Dearborn St & Maple St,2364,2203299,0.10729365374377241
Wood St & Milwaukee Ave,2356,2203299,0.10693056185293054
Green St & Lake St ,2351,2203299,0.10670362942115437
Sheffield Ave & Willow St,2349,2203299,0.1066128564484439
Kingsbury St & Kinzie St 1,2346,2203299,0.1064766969893782
Woodlawn Ave & 58th St,2344,2203299,0.10638592401666773
Clinton St & Roosevelt Rd,2338,2203299,0.10611360509853633
Halsted St & Armitage Ave,2338,2203299,0.10611360509853633
Noble St & Milwaukee Ave,2328,2203299,0.10565974023498399
May St & Taylor St,2324,2203299,0.10547819428956305
Jefferson St & Monroe St,2323,2203299,0.10543280780320782
Paulina Ave & North Ave,2309,2203299,0.10479739699423456
Canal St & Monroe St,2308,2203299,0.10475201050787933
Clarendon Ave & Leland Ave,2294,2203299,0.10411659969890605
Ogden Ave & Race Ave,2290,2203299,0.10393505375348511
Dearborn St & Adams St,2283,2203299,0.10361734834899848
Humboldt Blvd & Armitage Ave,2283,2203299,0.10361734834899848
Broadway & Granville Ave,2265,2203299,0.10280039159460427
Broadway & Argyle St,2264,2203299,0.10275500510824903
Racine Ave & Wrightwood Ave,2263,2203299,0.1027096186218938
Halsted St & Polk St,2253,2203299,0.10225575375834148
Paulina St & Division St,2251,2203299,0.102164980785631
Damen Ave & Leland Ave,2251,2203299,0.102164980785631
Damen Ave & Charleston St,2203,2203299,0.09998642944057977
Broadway & Thorndale Ave,2196,2203299,0.09966872403609314
Clark St & Eddy St ,2193,2203299,0.09953256457702746
Racine Ave & 18th St,2188,2203299,0.09930563214525127
Wood St & Beach Ave,2186,2203299,0.0992148591725408
Elizabeth St & Fulton St,2136,2203299,0.09694553485477912
Aberdeen St & Monroe St,2136,2203299,0.09694553485477912
Western Ave & Walton St,2119,2203299,0.09617396458674016
Eckhart Park,2118,2203299,0.09612857810038493
Damen Ave & Foster Ave,2108,2203299,0.09567471323683258
Cornell Ave & Hyde Park Blvd,2099,2203299,0.09526623485963548
