end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Halsted St & Fulton St,41.88682194974492,-87.64782945593458,6924,0.21042810449074362
Halsted St & Willow St,41.91386500000007,-87.64875500000056,6917,0.2102153666612469
Broadway & Wilson Ave,41.96522099999976,-87.65813899999971,6904,0.20982028212075304
Woodlawn Ave & 55th St,41.795264000000245,-87.59647099999907,6895,0.2095467620542573
Orleans St & Hubbard St,41.89002800000035,-87.63661799999946,6884,0.20921245975076244
Lincoln Park Conservatory,41.923931311365465,-87.63582453131676,6856,0.20836150843277562
Michigan Ave & 8th St,41.872772970698634,-87.62398098946312,6844,0.20799681501078127
Damen Ave & Division St,41.90326600000048,-87.67843499999972,6817,0.20717625481129395
Fulton Market,41.88687100000028,-87.64808899999902,6796,0.20653804132280382
Southport Ave & Wrightwood Ave,41.92877299999973,-87.66391299999889,6730,0.2045322275018349
Clark St & North Ave,41.911974000000136,-87.6319420000015,6716,0.20410675184284144
Woodlawn Ave & 58th St,41.78938099999997,-87.59647899999985,6650,0.20210093802187248
Rush St & Hubbard St,41.89017299999981,-87.62618500000055,6606,0.20076372880789317
Clark St & Grace St,41.95077999999949,-87.6591719999997,6586,0.2001559064379026
Ashland Ave & Division St,41.90317395710727,-87.66927108239388,6565,0.19951769294941243
Financial Pl & Ida B Wells Dr,41.87502362803285,-87.6330940425396,6548,0.19900104393492046
Ellis Ave & 58th St,41.788746130082515,-87.60133399440247,6520,0.19815009261693362
Dearborn St & Maple St,41.90191999999929,-87.63026000000117,6485,0.19708640346945008
Paulina St & Flournoy St,41.87306108789843,-87.66913488507271,6466,0.19650897221795902
Paulina St & Division St,41.903552891163635,-87.67042920730803,6379,0.19386494490849995
Carpenter St & Huron St,41.89455599999958,-87.65344900000042,6369,0.19356103372350464
Dearborn St & Division St,41.90429999999989,-87.62991000000137,6350,0.19298360247201357
Stetson Ave & South Water St,41.88683499999962,-87.62231999999915,6308,0.19170717549503333
Aberdeen St & Monroe St,41.880280709246605,-87.65511304972313,6288,0.19109935312504275
Sangamon St & Washington Blvd,41.88316499999965,-87.65110000000045,6252,0.19000527285905966
Aberdeen St & Carroll Ave,41.88819000000006,-87.65458999999976,6224,0.18915432154107284
Clark St & Leland Ave,41.96708784118361,-87.66729088701048,6215,0.18888080147457706
Hampden Ct & Diversey Pkwy,41.9324699999998,-87.6424199999998,6202,0.1884857169340832
Greenview Ave & Fullerton Ave,41.92532999999937,-87.66580000000073,6138,0.18654068535011328
Noble St & Milwaukee Ave,41.90069999999953,-87.6626069999996,6094,0.18520347613613397
Wood St & Chicago Ave,41.89563400000031,-87.67206900000016,6083,0.18486917383263915
Wells St & Institute Pl,41.897379860723255,-87.63442039489746,6081,0.18480839159564008
Clark St & Ida B Wells Dr,41.875932665500294,-87.63058453549955,6053,0.18395744027765326
Calumet Ave & 18th St,41.8576175529378,-87.61941075325012,6039,0.18353196461865984
Morgan St & Lake St*,41.88549170626987,-87.65228927135468,5987,0.1819516264566843
Wabash Ave & 16th St,41.860383999999705,-87.62581300000006,5984,0.1818604531011857
Franklin St & Washington St,41.88318000000005,-87.6351100000008,5983,0.1818300619826862
