station_name,station_lat,station_lng,rider_type,endpoint_role,percent_of_endpoint_role_x_rider_type,running_count,total_count
Navy Pier,41.892277999999564,-87.6120430000006,member,end,0.41315972399847134,597398,2990853
Shedd Aquarium,41.867225956819766,-87.6153553901995,member,end,0.15233112426454928,2068402,2990853
DuSable Lake Shore Dr & North Blvd,41.911722004081575,-87.62680400313788,member,end,0.46732487353942176,401988,2990853
Desplaines St & Kinzie St,41.88871603600045,-87.6444478532985,member,end,0.499589916321531,316349,2990853
Canal St & Adams St,41.87925512992977,-87.63990408599476,member,end,0.501194809641263,301407,2990853
Franklin St & Monroe St,41.88031614985366,-87.63518439275222,member,end,0.5120612748269473,286417,2990853
Clark St & Armitage Ave,41.91830562042602,-87.63628174926401,member,end,0.5123621923243971,271102,2990853
Kingsbury St & Erie St,41.89391389999962,-87.64173579999989,member,end,0.5172103075610871,255778,2990853
Canal St & Madison St,41.88240899999953,-87.63976699999772,member,end,0.7323663182376399,21904,2990853
University Ave & 57th St,41.791478003885615,-87.59986035315721,member,end,0.5326239704860118,224393,2990853
Wells St & Hubbard St,41.88990599999883,-87.63426599999985,member,end,0.5460983873162606,208463,2990853
Kingsbury St & Kinzie St,41.88916867905444,-87.63849388320654,member,end,0.5677644471326407,192130,2990853
Wells St & Huron St,41.89479530000076,-87.63437430000036,member,end,0.5835793333874985,175149,2990853
State St & Chicago Ave,41.896617200409025,-87.62857854366302,member,end,0.7192262541823353,43415,2990853
Clinton St & Washington Blvd,41.88322994759224,-87.64117795624372,member,end,0.6208262325162754,139167,2990853
Clark St & Elm St,41.902969999999364,-87.63130000000089,member,end,0.6248719010930995,120599,2990853
Wells St & Elm St,41.903221999999445,-87.63432400000163,member,end,0.6373766948760103,101910,2990853
Wells St & Concord Ln,41.91213300000054,-87.63465600000023,member,end,0.648744689224111,82847,2990853
Michigan Ave & Oak St,41.90096038999994,-87.62377663999953,member,end,0.43185004411784866,509297,2990853
Navy Pier,41.892278000005284,-87.61204299999146,casual,end,3.0041963801692915,47271,1573499
Wells St & Concord Ln,41.912133000000296,-87.63465599999988,casual,end,0.5864001184621026,234867,1573499
Michigan Ave & Oak St,41.900960390000044,-87.62377663999517,casual,end,1.4579608884403485,100067,1573499
DuSable Lake Shore Dr & North Blvd,41.91172199999975,-87.6268039999996,casual,end,1.4157619420158514,122344,1573499
Millennium Park,41.88103170000115,-87.62408432000275,casual,end,1.2163337885820074,141483,1573499
Theater on the Lake,41.92627700000066,-87.63083400000201,casual,end,1.1134420803572167,159003,1573499
Shedd Aquarium,41.86722596357065,-87.61535540827809,casual,end,0.9534165576209455,174005,1573499
DuSable Lake Shore Dr & Monroe St,41.88095799999818,-87.61674299999737,casual,end,1.897363773348442,77126,1573499
Clark St & Armitage Ave,41.91830599999967,-87.63628200000076,casual,end,0.5797270922955783,262326,1573499
Wells St & Elm St,41.90322200000047,-87.63432399999928,casual,end,0.5001591993385442,295115,1573499
Clark St & Elm St,41.90297000000019,-87.63129999999909,casual,end,0.4537657793236602,354746,1573499
State St & Chicago Ave,41.896617200407505,-87.62857854366302,casual,end,0.44340670060800796,368775,1573499
Canal St & Madison St,41.88240900000015,-87.63976700000042,casual,end,0.44251696378580474,375738,1573499
Wells St & Huron St,41.89479529999992,-87.63437430000116,casual,end,0.41499867492766124,395781,1573499
Wells St & Hubbard St,41.88990599999982,-87.63426599999949,casual,end,0.39688617533280923,414818,1573499
Clinton St & Madison St,41.88237509257243,-87.64117638489722,casual,end,0.3806167020125211,432910,1573499
Clinton St & Jackson Blvd,41.8783166118304,-87.64098107814789,casual,end,0.35297130789406284,450183,1573499
Desplaines St & Kinzie St,41.88871603599968,-87.64444785330025,casual,end,0.33447749251826664,498769,1573499
Kingsbury St & Kinzie St,41.88917114463722,-87.63849747825216,casual,end,0.3234828875010407,524570,1573499
Franklin St & Monroe St,41.8803160367169,-87.63518431194042,casual,end,0.2059740743400536,876994,1573499
Clinton St & Washington Blvd,41.88323209606957,-87.6411777844179,casual,end,0.2765174938147403,660027,1573499
Daley Center Plaza,41.88424082769441,-87.62963331077803,casual,end,0.26298078359121935,689668,1573499
Kingsbury St & Erie St,41.893913899999816,-87.64173580000069,casual,end,0.2533207838072983,714014,1573499
Canal St & Adams St,41.87925499999989,-87.63990399999969,casual,end,0.25281236276603924,721974,1573499
Clinton St & Madison St,41.882330368469525,-87.64117473470422,member,end,0.6696751729356141,63444,2990853
